iter	Passed	Remaining
0	27	2006
1	48	1706
2	69	1611
3	91	1574
4	105	1430
5	122	1362
6	133	1258
7	145	1180
8	162	1152
9	179	1129
10	192	1083
11	209	1063
12	233	1075
13	256	1079
14	288	1116
15	312	1114
16	343	1130
17	364	1113
18	386	1098
19	407	1078
20	435	1077
21	458	1062
22	482	1049
23	502	1025
24	519	997
25	539	974
26	556	948
27	577	928
28	594	901
29	608	872
30	635	861
31	656	841
32	684	829
33	708	812
34	733	796
35	760	781
36	781	760
37	792	730
38	805	701
39	817	674
40	840	655
41	860	635
42	880	614
43	902	594
44	930	578
45	954	560
46	991	548
47	1064	554
48	1081	529
49	1118	514
50	1139	491
51	1164	470
52	1190	449
53	1255	441
54	1288	421
55	1307	396
56	1322	371
57	1340	346
58	1357	322
59	1370	296
60	1386	272
61	1404	249
62	1426	226
63	1441	202
64	1454	178
65	1468	155
66	1485	133
67	1501	110
68	1518	88
69	1532	65
70	1548	43
71	1562	21
72	1575	0
