district,mandal,village,lat_gis,long_gis,gwl,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1,year,temp_id
ADILABAD,Adilabad,Adilabad,19.6683,78.5247,5.09,8.28,745.0,476.8,0.0,220.0,60.0,0.44,42.27681818,46.0,49.0,4.0,48.0,38.896,279.9342105,1.273327902,C2S1,-1.198684211,P.S.,2018,
ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,5.1,8.29,921.0,589.44,0.0,230.0,80.0,0.56,100.6590909,68.0,42.0,5.0,56.0,63.206,399.8930921,0.913165517,C3S1,-3.397861842,P.S.,2018,
ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,4.98,7.69,510.0,326.4,0.0,200.0,30.0,0.66,41.47154545,44.0,45.0,2.0,24.0,38.896,219.9342105,1.319283964,C2S1,-0.398684211,P.S.,2018,
ADILABAD,Jainath,Jainath,19.730555,78.64,5.75,8.09,422.0,270.08,0.0,160.0,10.0,0.58,10.66986364,35.0,27.0,1.0,32.0,19.448,159.9671053,0.928155164,C2S1,0.000657895,P.S.,2018,
ADILABAD,Narnoor,Narnoor,19.495665,78.852654,2.15,8.21,2321.0,1485.44,0.0,300.0,340.0,2.56,128.8436364,280.0,298.0,5.0,56.0,92.378,519.84375,5.682664477,C4S2,-4.396875,P.S.,2018,
ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,8.8,8.29,1030.0,659.2,0.0,340.0,60.0,0.61,66.435,43.0,73.0,22.0,80.0,34.034,339.9424342,1.72144176,C3S1,0.001151316,P.S.,2018,
ADILABAD,Talamadugu,Talamadugu,19.6334,78.3969,3.95,7.62,2129.0,1362.56,0.0,340.0,330.0,0.65,193.2654545,143.0,162.0,13.0,88.0,126.412,739.7861842,2.589608252,C3S1,-7.995723684,P.S.,2018,
ADILABAD,Tamsi,Tamsi,19.6811,78.4268,3.7,8.31,982.0,628.48,30.0,210.0,40.0,1.8,144.9490909,70.0,85.0,5.0,48.0,43.758,299.9259868,2.133949028,C3S1,-1.198519737,P.S.,2018,
ADILABAD,Utnoor,Utnoor,19.3789,78.7685,3.12,8.22,2420.0,1548.8,0.0,420.0,290.0,0.53,134.8831818,268.0,321.0,6.0,48.0,97.24,519.8355263,6.121307804,C4S2,-1.996710526,P.S.,2018,
BHADRADRI,Annapureddypalli,Annapureddypalli,17.354519,80.826104,15.6,8.05,250.0,160.0,0.0,57.63929176,30.0,0.07,24.3595,4.0,10.20021285,3.2,24.0,9.724,99.98355263,0.443523991,C2S1,-0.846885217,P.S.,2018,
BHADRADRI,Ashwapuram,Aswapuram,17.841678,80.809241,5.59,7.97,1840.0,1177.6,0.0,207.8719019,380.0,0.59,159.444,37.0,150.3975766,1.9,64.0,106.964,599.8190789,2.669948378,C3S1,-7.83894354,P.S.,2018,
BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,5.36,7.93,1550.0,992.0,0.0,547.1956631,140.0,0.9,11.29395,13.0,190.9923317,6.0,24.0,72.93,359.8766447,4.377349903,C3S1,3.746380368,U.S.,2018,
BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,6.02,8.5,1390.0,889.6,60.0,299.9504311,170.0,0.71,70.864,30.0,161.8440782,8.0,24.0,68.068,339.8848684,3.816832154,C3S1,0.401311253,P.S.,2018,
